                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.3623,                 0.7185,                 1.1566,                 1.7124,                0.97713,                 1.1045,                0.85106,                0.65274,                0.72102,                0.40432,                 1.2875,                0.53441,                 1.1154,                 1.5466,                0.70086,                 1.0736,               0.005644,               0.005644,               0.005644
                     25,                 1.3586,                0.71408,                 1.1577,                 1.7176,                0.97604,                  1.104,                0.85372,                0.65536,                0.72297,                0.40519,                 1.2837,                0.53172,                  1.114,                 1.5433,                0.69826,                 1.0728,               0.005446,               0.005446,               0.005446
                     26,                   1.36,                0.71276,                 1.1542,                 1.7139,                 0.9745,                 1.1013,                0.85459,                0.65371,                0.72296,                0.40649,                 1.2792,                0.52885,                 1.1105,                 1.5384,                0.69486,                 1.0699,               0.005248,               0.005248,               0.005248
                     27,                 1.3526,                0.70736,                 1.1521,                 1.7046,                0.96578,                 1.0998,                0.85449,                0.65592,                0.72423,                0.40686,                 1.2798,                0.52708,                 1.1112,                 1.5384,                0.69336,                 1.0701,                0.00505,                0.00505,                0.00505
                     28,                 1.3505,                0.70207,                 1.1515,                 1.7003,                0.95573,                 1.0987,                0.85293,                0.65842,                0.72491,                0.40753,                 1.2795,                0.52573,                 1.1097,                 1.5385,                0.69021,                 1.0688,               0.004852,               0.004852,               0.004852
                     29,                 1.3452,                0.69455,                 1.1517,                  1.695,                0.94013,                 1.0977,                0.85526,                0.65801,                0.72624,                0.40933,                 1.2738,                0.52285,                 1.1084,                 1.5337,                0.68451,                  1.068,               0.004654,               0.004654,               0.004654
                     30,                 1.3402,                0.69157,                 1.1528,                 1.6854,                0.94278,                 1.0968,                0.85569,                0.65866,                0.72711,                0.41071,                 1.2721,                0.52165,                 1.1106,                 1.5306,                0.68355,                  1.069,               0.004456,               0.004456,               0.004456
                     31,                 1.3354,                0.69048,                 1.1483,                  1.683,                0.93475,                 1.0945,                0.85506,                0.66036,                 0.7281,                0.41096,                 1.2735,                0.52034,                 1.1105,                 1.5311,                0.68148,                 1.0687,               0.004258,               0.004258,               0.004258
                     32,                 1.3253,                0.68052,                 1.1424,                 1.6642,                0.92644,                 1.0927,                0.85407,                0.66256,                 0.7286,                0.41147,                 1.2726,                0.51933,                 1.1082,                 1.5304,                0.67873,                  1.067,                0.00406,                0.00406,                0.00406
                     33,                  1.326,                0.67719,                 1.1422,                 1.6647,                0.91711,                 1.0912,                0.85397,                0.66351,                0.72964,                0.41196,                 1.2734,                 0.5183,                 1.1073,                   1.53,                0.67793,                 1.0657,               0.003862,               0.003862,               0.003862
                     34,                 1.3219,                0.67498,                 1.1318,                  1.667,                0.92495,                 1.0807,                0.85539,                0.66285,                0.72982,                0.41235,                 1.2714,                0.51631,                 1.1052,                 1.5276,                0.67674,                 1.0635,               0.003664,               0.003664,               0.003664
